Gene,C3,C5,C7,T3,T4,T5
Dcdc2c,0,0,0,0,0,0
Allc,0,0,0,0,0,0
Colec11,5,10,12,5,8,9
Rps7,15156,9984,12683,12390,14070,18128
Rnaseh1,405,260,256,345,317,180
Adi1,531,435,487,474,597,359
Mir6937,2,1,1,1,1,0
Trappc12,1244,773,1059,1034,1125,678
Eipr1,707,421,554,551,587,507
Gm31508,0,0,1,1,1,1
Gm31333,0,0,0,0,0,0
Myt1l,19,8,10,4,13,4
C630031E19Rik,0,0,0,0,1,0
Pxdn,1327,970,1053,1150,1349,646
Tpo,1,1,0,1,1,0
Sntg2,253,178,261,161,251,117
2310016D03Rik,0,0,0,0,0,0
Tmem18,811,575,748,758,831,259
Alkal2,2,3,2,3,6,1
Acp1,1647,1046,1451,1282,1172,643
Sh3yl1,777,639,655,818,933,468
Fam110c,1228,845,1012,1214,1374,485
6030469F06Rik,2,0,0,0,0,0
Lamb1,2421,1881,1977,2372,2917,1228
Dld,4710,2985,4009,3688,3762,1716
Slc26a3,16937,9405,11985,17545,18782,6841
Cbll1,592,443,510,458,515,181
Slc26a4,11,6,11,15,14,8
Bcap29,281,215,244,286,249,169
