Gene,A11,A12,A13,A21,A22,A24,B11,B12,B22,B23
Nmnat3,638,800,509,634,1012,435,608,778,854,555
Rbp1,382,641,364,691,888,468,335,866,2054,1271
Rbp2,398,1023,656,1376,1260,1207,656,818,1236,1013
4930579K19Rik,20,59,44,40,70,32,40,57,0,32
Copb2,25984,26429,19743,17187,26206,18825,20615,20637,23875,17977
Mrps22,1800,1959,1393,1391,2917,1603,1733,1525,1695,1388
E330023G01Rik,0,0,0,0,0,0,2,0,0,2
Prr23a1,0,0,0,0,0,0,0,0,0,0
Prr23a2,0,0,0,0,0,0,0,0,0,0
Prr23a3,0,0,0,0,0,0,0,0,0,0
7420426K07Rik,0,0,0,0,0,0,0,0,0,0
Foxl2os,0,0,2,0,0,2,2,2,0,8
Foxl2,2,0,6,0,0,0,0,0,0,12
Faim,771,848,615,645,1387,637,800,792,926,713
Gm1123,4660,8608,6792,7703,10595,6927,6846,5324,7019,6061
Pik3cb,1772,1917,1310,1288,2207,1385,1389,1465,1515,1368
Faiml,0,0,0,0,0,0,0,0,0,0
Cep70,1116,988,692,610,1278,740,923,782,1060,766
4930422M22Rik,29,46,39,27,124,38,42,45,0,55
Esyt3,107,144,87,64,158,60,89,114,150,96
Mras,371,424,523,378,1008,316,312,479,766,633
Nme9,2,2,3,4,52,9,9,6,0,2
1600029I14Rik,2,11,2,1,26,4,6,7,26,5
Armc8,4184,4591,3096,2936,5111,3174,3305,3581,4932,3264
Dbr1,1278,1816,1218,1258,2027,1165,1360,1553,1845,1228
A4gnt,3398,5604,4009,2920,5105,3961,4325,3094,4478,3359
Dzip1l,445,447,565,417,354,515,392,463,690,686
Cldn18,0,0,2,0,0,0,0,0,0,0
Sox14,0,0,0,0,0,0,0,0,0,0
4930519F24Rik,0,0,0,0,0,0,0,0,0,0
Il20rb,293,386,236,265,566,359,212,191,508,210
Nck1,2217,2646,2029,1945,2770,1876,2048,2800,3603,2439
Slc35g2,507,653,599,487,534,466,599,568,714,629
Stag1,5298,5042,2952,3675,4714,4182,3955,4145,5248,3494
Pccb,11527,12902,10264,7271,13623,8172,11200,11375,11171,9412
Msl2,6686,7701,5751,5349,7221,5595,6727,7178,8962,6384
Ppp2r3a,1429,1811,1249,1080,2373,1485,1359,1221,2022,1449
Gm28979,6,0,0,4,0,0,0,0,0,2
Ephb1,22,46,74,38,0,42,48,76,40,78
Mir7243,0,0,0,0,0,0,0,0,0,0
Ky,31,12,16,24,42,30,45,20,0,20
Cep63,1780,1566,1058,1320,1730,1281,1619,1586,1615,1623
Anapc13,1736,1913,1601,1187,2139,1332,2057,2165,2421,1829
Amotl2,1341,1710,1368,1598,1894,1400,1041,1632,2642,2014
Gm5627,0,2,2,0,0,0,0,1,0,4
Ryk,5502,6960,4773,4911,7832,5206,5653,5938,8080,6294
Slco2a1,6222,8386,5509,6769,7259,6686,4156,5991,8568,6874
Rab6b,300,398,348,291,485,233,350,490,830,965
Srprb,5542,5905,4474,3850,5407,4294,4985,5347,5098,5105
Trf,4575,6168,3207,2227,4832,2363,2496,5588,6966,3744
1300017J02Rik,0,14,10,6,0,6,0,2,0,0
Topbp1,8820,7991,4601,5219,6546,6528,6405,6007,7117,5022
